Sender Email,Date,Subject,Summary
LinkedIn <jobs-noreply@linkedin.com>,2025-06-10 00:18:44,New jobs similar to Software Engineer at 24 Seven Talent,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:44,30+ new jobs in Dublin,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:44,“Software Engineer”: CPL - ie - Software Engineer - Java and more,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:44,“Java Software Engineer”: CPL - ie - Senior Java Software Engineer,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:43,30+ new jobs in Dublin,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:42,“Software Engineer”: bumps. - Ingénieur Full Stack and more,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:42,30+ new jobs in Dublin,(Summary failed)
LinkedIn <jobs-listings@linkedin.com>,2025-06-10 00:18:42,Intuition is hiring a Global Graduate Programme 2025,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:41,“Software Engineer”: Vectra AI - Software Engineer and more,(Summary failed)
Onur Korucu via LinkedIn <messaging-digest-noreply@linkedin.com>,2025-06-10 00:18:41,Onur just messaged you,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:41,30+ new jobs in Dublin,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:40,“Software Engineer”: Xtremepush - Python Developer and more,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:40,“Software Engineering Specialist”: Atrium (EMEA) - Cloud Technical Lead,(Summary failed)
LinkedIn <jobs-noreply@linkedin.com>,2025-06-10 00:18:39,New jobs similar to Junior QA Engineer at Motorola Solutions,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:39,30+ new jobs in Dublin,(Summary failed)
LinkedIn <jobs-listings@linkedin.com>,2025-06-10 00:18:39,You may be a fit for Arista Networks’ Graduate/Intern Software Engineer role - Actively recruiting,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:39,“Software Engineer”: Arista Networks - Graduate/Intern Software Engineer and more,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:38,30+ new jobs in Dublin,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:38,“Software Engineer”: Fruition Group Ireland - Software Engineer and more,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:38,30+ new jobs in Dublin,(Summary failed)
LinkedIn <jobs-listings@linkedin.com>,2025-06-10 00:18:37,"Marsh McLennan is hiring a Junior Gen AI Developer - Innovation
 Centre",(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:37,“Java Software Engineer”: Sigmar Recruitment - Senior Java Software Engineer,(Summary failed)
Chetna Raut via LinkedIn <messaging-digest-noreply@linkedin.com>,2025-06-10 00:18:37,Chetna just messaged you,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:37,“Software Engineer”: DocuSign - Software Engineer and more,(Summary failed)
Chetna Raut via LinkedIn <messaging-digest-noreply@linkedin.com>,2025-06-10 00:18:36,Chetna just messaged you,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:36,30+ new jobs in Dublin,(Summary failed)
LinkedIn <jobs-noreply@linkedin.com>,2025-06-10 00:18:35,"New jobs similar to IT Business Process Analyst at Grant Thornton
 Ireland",(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:35,30+ new jobs in Dublin,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:35,“Software Engineer”: Microsoft - Low Code Engineer and more,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:34,“Software Engineer”: Stripe - Software Engineer and more,(Summary failed)
LinkedIn Job Alerts <jobalerts-noreply@linkedin.com>,2025-06-10 00:18:34,30+ new jobs in Dublin,(Summary failed)
LinkedIn <jobs-listings@linkedin.com>,2025-06-10 00:18:34,Exyte is hiring a Exyte Graduate Programme 2025,(Summary failed)
Workday - MMC <mmc@myworkday.com>,2025-06-10 00:18:33,Thank you for your application at Marsh,(Too short to summarize)
Marsh McLennan <talentacquisition@jobalerts.mmc.com>,2025-06-10 00:18:33,Welcome to Marsh McLennan Job Alert!,(Summary failed)
aib-jobnotification@noreply.jobs2web.com,2025-06-09 22:14:41,New jobs posted from jobs.aib.ie,(Summary failed)
"""Dhruva Bisht"" <notifications@github.com>",2025-06-09 16:14:55,"[dhruvabisht/Job-Email-tracker] Run failed: Fetch Job Emails Daily
 - main (4092f3b)",(Summary failed)
"""Dhruva Bisht"" <notifications@github.com>",2025-06-09 13:10:33,"[dhruvabisht/Job-Email-tracker] Run failed: Fetch Job Emails Daily
 - main (491b466)",(Summary failed)
GitHub <noreply@github.com>,2025-06-09 08:16:17,[GitHub] A new public key was added to dhruvabisht/Job-Email-tracker,(Summary failed)
vodafonepr-jobnotification@noreply12.jobs2web.com,2025-06-08 12:23:40,Here’s a Vodafone job match for you,(Summary failed)
"""Indeed"" <invitetoapply@match.indeed.com>",2025-06-07 17:46:05,Junior Software Engineer @ Longshot Systems Ltd,(Summary failed)
GitHub <noreply@github.com>,2025-06-06 10:40:39,"[GitHub] A new SSH authentication public key was added to your
 account",(Summary failed)
"""Indeed"" <invitetoapply@match.indeed.com>",2025-06-04 17:46:35,AI/ML Developer @ Discount Trade Ltd,(Summary failed)
"""Dolapo Ayilara (LinkedIn Supplier)"" <dayilara@linkedin.com>",2025-06-03 15:34:34,Update Regarding Future LinkedIn Community LearnIn Session Attendance,(Summary failed)
LinkedInGuest <noreply@tdscloud.ie>,2025-06-03 13:53:24,Thank you for visiting LinkedIn ,(Summary failed)
aib-jobnotification@noreply.jobs2web.com,2025-06-02 22:09:48,New jobs posted from jobs.aib.ie,(Summary failed)
=?UTF-8?B?4oCcR29vZ2xlIEFJIFN0dWRpb+KAnQ==?= <googleaistudio-noreply@google.com>,2025-06-02 10:53:16,[Reminder] Migrate to Gemini 2.0 to avoid errors in your models,(Summary failed)
vodafonepr-jobnotification@noreply12.jobs2web.com,2025-06-01 12:18:51,Here’s a Vodafone job match for you,(Summary failed)
"""Indeed"" <invitetoapply@match.indeed.com>",2025-06-01 12:16:59,Application Consultant-Local Government Experience Mandatory at IDOX plc in Remote and 4 more new jobs,(Summary failed)
"""Indeed"" <invitetoapply@match.indeed.com>",2025-06-01 12:16:32,Senior Software Engineer - Filter and Firewall @ Smoothwall by Qoria,(Summary failed)
Google Developers <GoogleDevelopers-noreply@google.com>,2025-05-31 22:41:24,[Correction] Updated list of your inactive OAuth clients list,(Summary failed)
